Disaster Subtype,Start Year,Disaster Type,Country,Subregion,Region,Location,Start Month,Start Day,End Year,End Month,End Day,Latitude,Longitude
coastal flood,2001,Flood,Malawi,Sub-Saharan Africa,africa,Nkhotakota,1.0,1.0,2001,1.0,27.0,-12.8321965,34.0329177
coastal flood,2001,Flood,Mozambique,Sub-Saharan Africa,africa,Caia,1.0,1.0,2001,4.0,27.0,-17.7981948,35.0884236
coastal flood,2001,Flood,Malawi,Sub-Saharan Africa,africa,Phalombe,1.0,1.0,2001,1.0,27.0,-15.6922071,35.6650523
coastal flood,2003,Flood,Mozambique,Sub-Saharan Africa,africa,Malema,1.0,1.0,2003,2.0,17.0,-14.7346835,37.3676317
coastal flood,2003,Flood,Mozambique,Sub-Saharan Africa,africa,Mocuba,1.0,1.0,2003,2.0,17.0,-16.8519695,36.8785266
coastal flood,2003,Flood,Mozambique,Sub-Saharan Africa,africa,Cidade de Quelimane,1.0,1.0,2003,2.0,17.0,-17.8673682,36.8971189
coastal flood,2007,Flood,Madagascar,Sub-Saharan Africa,africa,Antananarivo I,2.0,8.0,2007,2.0,8.0,-21.743247,46.6145685
coastal flood,2007,Flood,Madagascar,Sub-Saharan Africa,africa,Antananarivo II,2.0,8.0,2007,2.0,8.0,-18.9100122,47.5255809
coastal flood,2007,Flood,Madagascar,Sub-Saharan Africa,africa,Antananarivo Atsimondrano,2.0,8.0,2007,2.0,8.0,-19.0098481,47.5123767
cold wave,2016,Extreme temperature,Morocco,Northern Africa,africa,Figuig district (Oriental province),2.0,27.0,2016,2.0,27.0,32.1097961,-1.2287718
cold wave,2016,Extreme temperature,Morocco,Northern Africa,africa,Taza,2.0,27.0,2016,2.0,27.0,34.230155,-4.010104
cold wave,2016,Extreme temperature,Morocco,Northern Africa,africa,Boulemane,2.0,27.0,2016,2.0,27.0,33.3637958,-4.729575
cold wave,2017,Extreme temperature,Algeria,Northern Africa,africa,Laghouat,1.0,16.0,2017,1.0,20.0,33.7504405,2.6431094
cold wave,2017,Extreme temperature,Algeria,Northern Africa,africa,Tébéssa,1.0,16.0,2017,1.0,20.0,35.124945,7.9011735
cold wave,2017,Extreme temperature,Morocco,Northern Africa,africa,Oriental,1.0,15.0,2017,2.0,26.0,33.3202138,-2.4238471
cold wave,2018,Extreme temperature,Morocco,Northern Africa,africa,Chefchaouen,1.0,5.0,2018,1.0,9.0,35.1700832,-5.2766583
cold wave,2018,Extreme temperature,Morocco,Northern Africa,africa,Midelt,1.0,5.0,2018,1.0,9.0,32.680347,-4.739897
cold wave,2018,Extreme temperature,Morocco,Northern Africa,africa,Zagora,1.0,5.0,2018,1.0,9.0,39.4438441,23.1022243
cold wave,2019,Extreme temperature,Algeria,Northern Africa,africa,Tizi Ouzou,1.0,11.0,2019,3.0,22.0,36.6816175,4.237186
cold wave,2019,Extreme temperature,Algeria,Northern Africa,africa,Medea,1.0,11.0,2019,3.0,22.0,35.9752045,3.0123504
cold wave,2019,Extreme temperature,Algeria,Northern Africa,africa,Boumerdes,1.0,11.0,2019,3.0,22.0,36.7358032,3.6163046
drought,2000,Drought,Madagascar,Sub-Saharan Africa,africa,district (Alaotra Mangoro province),6.0,22.0,2000,12.0,22.0,-17.0074287,48.571098
drought,2000,Drought,Madagascar,Sub-Saharan Africa,africa,Ambovombe-Androy,6.0,22.0,2000,12.0,22.0,-25.178398,46.0877489
drought,2000,Drought,Madagascar,Sub-Saharan Africa,africa,Faratsiho,6.0,22.0,2000,12.0,22.0,-19.4050956,46.9508361
drought,2001,Drought,Zimbabwe,Sub-Saharan Africa,africa,Zvishavane,3.0,19.0,2003,8.0,19.0,-20.3159097,30.0526888
drought,2001,Drought,Eswatini,Sub-Saharan Africa,africa,Lomahasha,3.0,19.0,2004,8.0,19.0,-25.9900748,31.9965301
drought,2001,Drought,Mali,Sub-Saharan Africa,africa,Koulikoro,4.0,19.0,2001,8.0,19.0,13.4820706,-7.6096079
drought,2002,Drought,Mozambique,Sub-Saharan Africa,africa,Maputo,3.0,19.0,2002,8.0,19.0,-25.966213,32.56745
drought,2002,Drought,Namibia,Sub-Saharan Africa,africa,Otjozondjupa,7.0,28.0,2003,3.0,28.0,-19.9424962,18.395886
drought,2002,Drought,Senegal,Sub-Saharan Africa,africa,Kedougou,8.0,28.0,2002,8.0,28.0,12.5570752,-12.1855655
drought,2003,Drought,Rwanda,Sub-Saharan Africa,africa,Gisagara,3.0,21.0,2007,1.0,21.0,-2.6069045,29.846704
drought,2003,Drought,Burundi,Sub-Saharan Africa,africa,Gitega,9.0,21.0,2004,1.0,21.0,-3.4284953,29.9249718
drought,2003,Drought,Mozambique,Sub-Saharan Africa,africa,Moatize,1.0,21.0,2003,1.0,21.0,-16.0134154,33.9157588
drought,2004,Drought,United Republic of Tanzania,Sub-Saharan Africa,africa,Manyara,10.0,10.0,2004,10.0,10.0,-4.072751,35.8521735
drought,2004,Drought,Kenya,Sub-Saharan Africa,africa,Mbeere,7.0,10.0,2004,7.0,10.0,-0.7293525,37.7051948
drought,2004,Drought,Kenya,Sub-Saharan Africa,africa,Nyanza,7.0,10.0,2004,7.0,10.0,-0.540052,34.4882692
drought,2005,Drought,Kenya,Sub-Saharan Africa,africa,Marsabit,12.0,14.0,2006,12.0,15.0,2.8579582,37.7154892
drought,2005,Drought,Kenya,Sub-Saharan Africa,africa,Samburu,12.0,14.0,2006,12.0,15.0,1.5394463,36.942166
drought,2005,Drought,Kenya,Sub-Saharan Africa,africa,Kitui,12.0,14.0,2006,12.0,15.0,-1.5642219,38.3728116
drought,2006,Drought,Mali,Sub-Saharan Africa,africa,Kidal province,8.0,5.0,2006,9.0,17.0,-8.5313761,119.7928374
drought,2006,Drought,United Republic of Tanzania,Sub-Saharan Africa,africa,Manyara,8.0,5.0,2006,9.0,17.0,-4.072751,35.8521735
drought,2006,Drought,Guinea-Bissau,Sub-Saharan Africa,africa,Quinara,5.0,5.0,2006,5.0,17.0,11.6340114,-15.0952685
drought,2007,Drought,Eswatini,Sub-Saharan Africa,africa,Hhohho,7.0,30.0,2007,7.0,30.0,-26.0988012,31.3630822
drought,2007,Drought,Zimbabwe,Sub-Saharan Africa,africa,Midlands,1.0,30.0,2009,6.0,27.0,-19.2785043,29.8790852
drought,2007,Drought,Zimbabwe,Sub-Saharan Africa,africa,Matabeleland North,1.0,30.0,2009,6.0,27.0,-18.9283715,27.4992231
drought,2008,Drought,Burundi,Sub-Saharan Africa,africa,Karuzi,9.0,30.0,2009,1.0,3.0,-3.1255377,30.0978347
drought,2008,Drought,Kenya,Sub-Saharan Africa,africa,Eastern,7.0,30.0,2009,10.0,3.0,7.7596435,81.5850205
drought,2008,Drought,Mozambique,Sub-Saharan Africa,africa,Sofala,12.0,30.0,2009,10.0,3.0,-19.0771666,34.7164804
drought,2009,Drought,South Sudan,Sub-Saharan Africa,africa,Jonglei,1.0,24.0,2010,8.0,12.0,8.0,32.0
drought,2009,Drought,Niger,Sub-Saharan Africa,africa,Agadez,9.0,24.0,2010,3.0,12.0,16.972556,7.990739
drought,2009,Drought,South Sudan,Sub-Saharan Africa,africa,Upper Nile,1.0,24.0,2010,8.0,12.0,9.0,33.0
drought,2010,Drought,Zimbabwe,Sub-Saharan Africa,africa,Matabeleland South,5.0,15.0,2013,11.0,12.0,-20.7364801,28.9396495
drought,2010,Drought,Somalia,Sub-Saharan Africa,africa,Sanaag,2.0,15.0,2011,11.0,12.0,10.4386899,47.5924085
drought,2010,Drought,Somalia,Sub-Saharan Africa,africa,Gedo,2.0,15.0,2011,11.0,12.0,3.0,42.0
drought,2011,Drought,Burundi,Sub-Saharan Africa,africa,Kayanza,8.0,15.0,2011,8.0,15.0,-3.0214816,29.6458034
drought,2011,Drought,Ethiopia,Sub-Saharan Africa,africa,Somali,1.0,15.0,2012,1.0,12.0,8.3676771,49.083416
