location_query,Latitude,Longitude,Status
Ali Sabieh,11.1630687,42.8372778,success
Dikhil,11.42837,42.0639774,success
Djibouti,11.8145966,42.8453061,success
Obock,11.9640149,43.292228,success
Tadjourah provinces,,,failed
Northern Darfur,9.2034651,26.9164712,success
Northern Kordofan,,,failed
Red Sea provinces,,,failed
Ceel Barde,4.6737132,43.9148358,success
Rab Dhuure,4.1700001,43.2461628,success
Tayeeglow,3.78,44.5375004,success
Xudur districts (Bakool province),,,failed
Garbahaarey,3.3280189,42.219898,success
Baardheere districts (Gedo province),,,failed
Bay,30.2481693,-85.6593633,success
Hiraan provinces,,,failed
Calulo,-9.9999443,14.8935447,success
Dombre Grande village (Baia Farta district,,,failed
Benguela province),-12.9104657,14.0356608,success
Massangano village (Cambambe district,,,failed
Kuanza Norte province),-9.0296752,15.0926324,success
Barisal,22.4934035,90.3548015,success
Chittagong,22.333778,91.8344348,success
Dhaka,23.7643863,90.3890144,success
Khulna,22.9372087,89.2852741,success
Rajshahi,24.6285432,89.0376862,success
Rangpur,26.9834936,94.6394226,success
Sylhet provinces,,,failed
Pouso Redondo (Etat de Santa Catarina),,,failed
Fujian,26.193218,118.2208721,success
Xiangtan (Hunan Province),27.681864,112.626292,success
Al-Ayyat,29.6195757,31.2581312,success
Gilan province,37.1515627,49.6389743,success
Woosobo (Java),,,failed
Java,-6.7115076,110.6337137,success
Matutuine,-26.4596979,32.574586,success
Manhica,-25.2889379,32.8827903,success
Magude,-24.7598051,32.4382853,success
Marracuene districts (Maputo province),,,failed
Chibuto,-24.2656131,33.5490566,success
Chokwe,-16.4547758,35.0129933,success
Mabalane districts (Gaza Province),,,failed
Inhambane,-22.779116,34.5661741,success
Sofala,-19.0771666,34.7164804,success
Manica,-19.0400995,33.4318137,success
Tete provinces,,,failed
Lagos,6.4550575,3.3941795,success
Nkhotakota,-12.8321965,34.0329177,success
San Francisco (Ayacucho department),-12.62451,-73.7877181,success
City of Capta Town Metropolitan Municipality (Western Cape province,,,failed
Cape Town region),0.239315,32.6211061,success
Cap Oriental Province,-33.9869943,25.6229461,success
Rio de Janeiro city (Rio de Janeiro district,,,failed
Rio de Janeiro province),10.2751856,123.8392051,success
Sao Paulo city (Sao Paulo district,,,failed
Sao Paulo province),-12.0299109,-77.0758975,success
Campos de Jordao city (Campos de Jordao district,,,failed
Sao Paulo province). Volta Redonda district (Rio de Janeiro province),,,failed
Barra Mansa district (Rio de Janeiro province),,,failed
Resende district (Rio de Janeiro province),,,failed
Pirangucu district (Minas Gerais province),,,failed
Santa Rita do Sapucai district (Minas Gerais province).,,,failed
Bihar,25.6440845,85.906508,success
Uttar Pradesh,27.1303344,80.859666,success
